一,yī,one
自恣,zìzì,(Skt. pravāraṇā) lit. self indulgence; ceremony of repentance
自然,zìrán,"naturally, of itself, appearing without human intervention"
自言,zìyán,"to admit, to confess; to make a complaint"
自責,zìzé,"self criticism, to admonish one's self"
自運,zìyùn,"moves of itself, self-activated"
自頃,zìqīng (<>zìqǐng),recently
臭,chòu,to smell
至,zhì,"utmost; extreme, most"
至心,zhìxīn,"with all one’s heart, with utmost concentration"
至理,zhìlǐ,ultimate principles
至真,zhìzhēn,“most-true-one” (a translation of arhat)
致,zhì,"to reach, to arrive at"
致書,zhìshū,to send a letter
與,yǔ,"together, with"
與 … 俱,yǔ … jù,together with (與 = preposition; 俱 = verb)
與麼,yǔme,"such, so, to this extent (如此)"
興方,Xīng Fāng (<>xìngfāng),(person's name)
舉,jǔ,entire
舉,jǔ,"to question, to denounce, to expose"
舉,jǔ,to raise
舉,jǔ,to give birth to
舉,jǔ,to recommend
舉問,jǔwèn,to raise a question (in encounter dialog)
舉意,jǔyì,"to conceive an idea, to think of something"
舌,shé,tongue
舍利,shèlì,"śarīra, relics"
舍利弗,Shélìfú (<>shèlìfú),Śāriputra
舍夷,Shèyí (<>shěyí),(Skt.) Śākya (surname)
舍衛,Shèwèi (<>shěwèi),(Skt.) Śrāvastī
舒展,shūzhǎn,"to extend, to stretch out"
舜皇,Shùn Huáng,The Great Shun
般若道行,Bānruò dào xíng (??bōrě …),"That is, 道行般若經, T 224 (Skt. Aṣṭasāhasrikā-prajñāpāramitā-sūtra)"
艱苦,jiānkǔ,"difficulty, hardship"
色,sè,"form (Skt. rūpa), matter; here: visible appearance"
色心,sèxīn,form and mind
色界,Sèjiè,The Realm of Form
花,huā,flowers
花林,Huālín,Flower Copse
花林窟,Huālínkū,"Flower Copse Grotto [or “Flower-copse Cave”] (Skt. Kareri-kuṭikā), "
苞,bāo,"to wrap up, to include"
苦毒,kǔdú,"lit. “bitter poison,” pain"
英儒,yīngrú,"outstanding Confucian; erudite scholar, eminent literati"
莊嚴,zhuāngyán,to ornament; adornment
莊嚴,zhuāngyán,"solemn; handsome, attractive"
莫,mò,do not
莫測,mòcè,unfathomable
菩薩,púsà,bodhisattva
菩薩戒,púsà jiè,bodhisattva precepts
華林園,Huálínyuán,Hualin Gardens (name of palace garden)
華苑,huáyuàn,flower garden
著,zhúo (<>zhe),to attach to; to stick to
著,zhù (<>zhe),to place
葉,yè,leaf
蒙,méng,to receive
蒙,méng,"to receive, to be favored with"
蒼生,cāngshēng,the common people
蓄銳,xùruì,to cultivate one's vital essence
蓋,gài,to cover
蓋,gài,"It is ever the case that, it must be that"
蓍龜,shīguī,"milfoil and carapace, tools of prognostication"
蔭,yīn,"to cover, to cast a shadow over"
蔽,bì,to cover
蕃王居士,Píwáng jūshì (<>fānwángjūshì),(name of a person)
蕭素,xiāosù,"sad and austere, forlorn and forsaken"
薄伽梵,bójiāfàn (<>báojiāfàn),"(Skt.) bhagavat, blessed one"
薄福,bófú (<>báofú),meager merit
薜蕳,Pì Jiǎn (<>bìjiān),(name)
薪,xīn,"kindling, firewood"
薰香,xūnxiāng,"to perfume; suffusing, penetrating fragrance"
藍田縣,Lántián xiàn,Lantian District
蘇曼那,sùmànnà (<>sūmànnà),"(Skt.) sumanā, another flower (Chrysanthemum Indicum)"
蘇活,sūhuó,to revive
蘊,yùn,aggregate (Skt. skandha)
蘭若,lánruò (<>lánrě),"araṇya, hermitage (one of the twelve forms of dhūta is to live in the forest in a hermitage)."
虎鬚,hǔxū,tiger whiskers
處,chù,place
虛妄,xūwàng,"illusions, falsity"
虛搆,xūgòu,"to imagine without foundation, to invent baselessly"
虛無,xūwú,"empty space, nothingness. (See Chapter 15 of the Zhuangzi 〈刻意〉: 須夫恬惔寂寞,虛無無為,此天地之平而道德之質也。Watson, “Limpidity, silence, emptiness, inaction—these are the level of Heaven and earth, the substance of the Way and its Virtue.”"
虛誑語,xūkuángyǔ,false speech (one of the ten types)
號咷,hàotáo (<>háotáo),"to cry out, to wail"
虧殆,kuīdài,"weary, tired; lacking, imperfect"
虫,chóng,insects
蜉蝣,fúyóu,mayflies
融,Róng,(person's name)
融,róng,to light up
行,xíng,"to carry out, to enact"
行列,hángliè,arrayed in rows
行業,xíngyè (<>hángyè),practice; conduct
行香,xíngxiāng,the circulation of incense
衛,Wèi,(surname)
衡門,héngmén,"lit. crossbar door, a simple abode"
衣冠子弟,yīguān zǐdì,"gentlemen disciples, disciples of good station"
衣裳,yīchéng (<>yīshang),"clothing, garments"
表,biǎo,relatives through the female line
衰微,shuāiwéi,"wither, decline"
袈裟,jiāshā,(Skt.) kaṣāya
被,bèi,"to don, to wear by (marks passive)"
裂,liè,split
補治,bǔzhì,"repair, mend"
補特伽羅,bǔtèjiāluó,"(Skt.) pudgala, individual, person"
裨岸,bì'àn,"to fortify the banks (of a river), to reinforce the levy"
褫,chǐ,"clothing in disarray, untidy garments"
褻,xiè,"to disrespect, to foul"
襄陽,Xiāngyáng,(place name)
襲,xí,"to continue, to take over from"
西,xī,west
覆,fù,"to cover, to obscure"
覆蔭,fùyīn,"to cover, to shelter"
覆蔭,fùyīn,"protection, shelter and shade [of family and fortune]"
覆述,fùshù,"to repeat, to say again"
見,jiàn,(indicates passive for verb that follows)
見拒,jiànjù,to be rejected
見聞疑,jiànwényí,"what one has seen, heard and suspected"
規濟,guījì,to order and save
覓,mì,to search for
覩,dǔ,"to view, to see"
親,qīn,to approach
親,qīn,relatives
親近,qīnjìn,"to draw close to, to approach"
覺,jué,"to feel, to notice"
覺魔,juémó,awakening to [knowledge of] demons
覽,lǎn,"read, observe"
觀,guān,to observe
觀音經,Guānyīnjīng,A chapter from the Lotus sūtra (觀世音菩薩普門品)
解把,jiěbǎ,"able to pull, able to yank (解 is used in a vernacular sense as 可, 能, 會)"
解紛,jiěfēn,"to resolve, to unravel tangles"
觸嬈,chùráo,"to beat, hit, attack"
言,yán,to say
言旨,yánzhǐ,word and meaning; gist of what was said
計校,jìjiào (<>jìxiào),to conceptualize
託病,tuōbìng,"on the excuse of illness, feigning illness, to plead illness"
記,jì,"to record; to describe, to explain"
設,shè,"if, supposing"
許,xǔ,to allow; to promise; a little more than
訶,hē,"to admonish, to denounce"
訶責,hēzé,"admonish, reproach"
訾,zī,"to sigh, to moan; to curse"
詎,jù,(rhetorical question) 難道
詣,yì,to go to
詰,jié,"to interrogate, to question, to investigate, to assess critically"
詳究,xiángjiù (<>xiángjiū),in detail
詳覈,xiánghé,to verify
詵,Shēn,(monk's name: 智詵)
誑惑,kuánghuò,"to deceive, to confound"
誕,dàn,to be born
誡,jiè,"to warn, to advise"
誦,sòng,to chant
說,shuō,"say, expound, relate, explain"
說淨,shuōjìng,“instructions in purity” (a ritual in which a monk turns over gifts he has received to one or more people to manage in his stead as a way of maintaining his purity).
課勸,kèquàn,to encourage
誹謗,fěibàng,to slander
調,tiáo (<>diào),"to moderate, to tame"
調和,tiáohé,"to balance, to harmonize; moderation"
調戲,tiáoxì,"playful, joking"
論,lùn,treatise (Skt. śāstra)
論,lùn,"discourse, discussion, theory, deliberations"
諡,shì,(also written as 謚) posthumous name
諦,dì,to scrutinize
諦,dì,"truth, (four noble) truths"
諦,dì,carefully
諫,jiàn,to remonstrate
諮問,zīwèn,"to inquire, to seek instruction"
諸,zhū,all
諸佛,zhū fó,(all) the Buddhas
講,jiǎng,"to lecture; to deliberate over, to discuss"
謝安,Xiè Ān,(person's name)
謝玄,Xiè Xuán,(person's name)
謝石,Xiè Shí,(person's name)
謫罰,zhéfá,punishment
謬,miù,"mistaken, wrong"
證得,zhèngdé,"to realize, to comprehend"
譏嫌,jīxián,criticism; to be disliked by people
譬如,pìrú,it is like
譯,yì,to translate
議,yì,"discussion, argument, opinion"
護,hù,to protect
譽,yù,to praise; reputation
變,biàn,"changes, transformations"
讖記,chènjì,"prophesy, forecast"
讚歎,zàntàn,"to praise, to admire"
讚誦,zànsòng,songs of praise
豁然,huòrán,"suddenly opened, clearly, perspicaciously"
豆,dòu,beans
豈... … 耶,qǐ … yé,isn’t it the case that ... ?
豫,yù,"to prepare to, be about to"
貝丘,Bèiqiū,(place name)
貞祥,zhēnxiáng,"auspicious, fortune"
負,fù,"assumed (the burden), shouldered, embraced"
財物,cáiwù,"wealth, possessions"
貢,gòng,"to submit, to give tribute"
貧道,píndào,I (term used by monks)
貪,tān,greed (one of the ten types)
資,zī,resource
資,zī,"to furnish, to supply, to nourish"
資州,Zīzhōu,(place name)
賊,zéi,bandit
賊,zéi,thief
賓頭盧,Bīntóulú,Piṇḍola
賜,cì,"to give, to administer"
質,zhì,"substance, physicality, corporal"
贊助,zànzhù,"(financial) support, donations"
贍,shàn,"richness, variety"
赤,chì,scarlet
赭,zhě,this (equivalent to zhè 這)
起,qǐ,to arise
起,qǐ,"to arise, get up"
趕,gǎn,to chase
趙,Zhào,(place name)
趙泰,Zhào Tài,(person's name)
趣,qù,"destination, realm, path of existence"
足下,zúxià,(polite term for a friend)
踏碓,tàduì,"to thresh, to pound, to trod the pestle"
踐,jiàn,to step on
蹬,dèng (<>dēng),to step onto
躍,yuè,to leap
躡,niè,"to step, to tread; to go"
身,shēn,body; physically
躬,gōng,personally
車軸,chēzhóu,"wheel hubs, cart hubs; here, just cart wheels?"
軌範,guǐfàn,regulations
載,zài,to ride
輒,zhé,"then, immediately"
輔,fǔ,"to aid, to assist"
輦,niǎn,palanquin
輪,lún,wheel
輪圍,lúnwéi,circular (range of mountains that enclose the world)
輿,yú,carriage
輿輦,yúniǎn,carriage (normally the imperial carriage)
轉劇,zhǔanjù (§§zhuǎnjù),"to intensify, aggravate"
轉讀,zhuǎndú,to recite
辛,xīn,"spicy, piquant"
辛酸,xīnsuān,pain and suffering
辟,bì (<>pì),"to avoid; to decline; to appoint, to offer a position to"
辭,cí,to take leave of
巡狩,xúnshòu,imperial inspection
迎逆,yíngnì,to greet
近,jìn,"to approach, to draw near to"
迦葉,Jiāshè (<>jiāyè),(Skt.) Kāśyapa (a Buddha of the Past)
迭暉,diéhuī,to reflect off each other
迭相,diéxiāng,one to another; in turns
迮,zé,"to make, to construct"
迴換,huíhuàn,spin and turn
迴旋,huíxuān (<>huíxuán),"to circle about, to swirl around"
迴覆,huífù,repeatedly
追尋,zhuīxún,"to pursue, to seek"
逐,zhú,to drive away
通,tong (<>tōng),"understand, comprehend"
通,tōng,understand; explain
通,tōng,"accomplished, successful"
通,tōng,"to work, to be possible"
通,tōng,to go through
通好,tōnghǎo,to greet
通徹,tōngchè,"to understand, to comprehend"
通才,tōngcái,"genius, man of talent"
通明,tōngmíng,to penetrate and illuminate
逝,shì,"to pass away, depart, die"
連,lián,connected; one after the other
進具,jìnjù,to receive the complete precepts
逼,bī,"to press upon, to encroach upon"
遁,dùn,to flee
遇,yù,to encounter
遊,yóu,"to travel, to wander"
運禪師,Yùn chánshī,a.k.a. Huángbō Xīyùn 黃檗希運
過,guò,to pass through
過去,guòqù,the past [“in the past”]
遏,è,"to stop, to hold in check, to arrest"
道,dào,"the Way, path, the Tao; to speak"
道,dào,"path, vocation"
道俗,dàosú,monks and lay people; the religious and the lay
道場,dàochǎng,"sanctum, ritual arena (lit. site of awakening), altar"
道生一,dàoshēngyī,"(here and below, Zōngmì is alluding to Chapter 42 of the 道德經: 「道生一,一生二,二生三,三生萬物」)。"
道體,dàotǐ,"the essence of the Way, the body of the Way"
達,dá,to reach
達識,dáshì,"intellect, man of insight"
遠公,Yuǎn gōng,Huiyuan
遠達,yuǎn dá,far reaching
適,shì,to go to
遮,zhē,"to restrict; to prohibit; to conceal; to obstruct; objection, refutation"
遷流,qiānliú,to shift and flow; transient
遺受,yíshòu,inheritance
遺書,wèishū (<>yíshū),to send a letter
遽,jù,"quickly, immediately"
避難,bìnàn,to flee difficulties; to take refuge from
還,huán (<>hái),to return
還,hái,again; still
邈玄,miǎoxuán,profound and mysterious
邏剎娑,luóchàsuō (<>luóshāsuō),"(Skt.) rakṣasa, demon"
邏贓,luózāng,"guard, watchman, lookout"
邑,yì,"area, district"
邢,Xíng,(surname)
那,nùo (<>nà),"(interrogative, like 嗎)"
那落迦,nàluòjiā,"(Skt.) naraka, hell"
邪倒,xiédǎo (<>xiédào),"false, mistaken"
邪命,xiémìng,wrong livelihood
邪見,xiéjiàn,false views (one of the ten types)
邪通,xiétōng,"perverse master, false master, heretical master"
郄超,Xì Chāo (<>qièchāo),(person's name)
郎中,lángzhōng,(title) Gentleman of the Interior
郝伯平,Hǎo Bópíng,(person's name)
郡,jùn,Commandery
部,bù,"group, category"
都督,dūdū,Commander-in-chief
鄙,bǐ,"to look down on, to dismiss"
鄙陋,bǐlòu,"ragged, ugly"
酪,lào,curds; cream
醉,zuì,drunk
醫方,yīfāng,medicine
醫藥,yīyào,medicine
釋翅瘦,Shìchìshòu,(Skt.) Śākyesu (name of a city)
重威,zhòngwēi,weighty authority
量,liàng,"to measure, to weigh"
金剛,jīn’gāng (§§jīngāng),vajra; diamond
金石,jīnshí,metal and stone (chimes)
金縷,jīnlǔ (<>jīnlǚ),golden thread
金藏雲,jīnzàngyún (<>jīncángyún),"golden treasury cloud (massive cloud that originates in the heaven of radiant sound, bringing the first rain)"
金𮅓,jīnbó(?) (<>jīn[…]),(person's name) gold leaf
釘,dīng,nail
釜,fǔ,caldron
釰南,Jiànnán (<>rìnán),(place name)
釿,jīn,ax
釿斧,jīnfǔ,ax
鈎,gōu,hook
鉏,chú,hoe
鉢,bō,alms bowl
鉤深致遠,gōushēn zhìyuǎn,"to probe deeply and retrieve that which is distant (From the Book of Changes. Richard Lynn gives “hook things up from the depths and extend a reach to the distances” [I Ching, p.66); Legge, “to hook up what lies deep, and reach what is distant” (The I Ching, p.373)."
銅,tóng,bronze
銷,xiāo,to digest
鋒,fēng,blade
鋒刃,fēngrèn,edge of a blade
鋒利,fēnglì,sharp
鋒起,fēngqǐ,"to arise en masse, to swell, to swarm"
鋒辯,fēngbiàn,to debate with skill
錫,xī,tin
鍑,fù,"pot, vat, cauldron"
鍾愛,zhōng'ài,to love greatly (usually from an elder to a younger person)
鎖,suǒ,chains
鎮,zhèn,"to occupy, to command, to administer"
鐵,tiě,iron
鑄,zhù,forged
鑾駕,luánjià,the phoenix carriage (of an emperor)
钁,jué,hoe
長,zhàng (<>zhǎng),excess; extra
長壽,Chángshòu,"(era name, 692-694)"
長者,zhǎngzhě,householder
長阿含經,Cháng āhán jīng (<>zhǎngāhánjīng),the Chinese translation of the Dīrghāgama
開,kāi,"to teach, to explain"
開,kāi,to open
開矇,kāiméng,"to enlighten, to instruct beginners"
閑靜,xiánjìng,peaceful and quiet
間,jiān,"between, among"
閡,hé (<>ài),"barrier, impediment; to be blocked"
閻羅,Yánluó,Yama
闇冥,ànmíng,darkness
闕緣,quēyuán (<>quèyuán),absence of conditions
關內,Guānnèi,(place name)
關山,guānshān,"impeding mountains, mountain obstacles"
關鍵,guānjiàn,"lit. door bolt; essential point, key"
阻遠,zǔyuǎn,treacherous (roads) and (great) distance
阿希物多,āxīwùduō,"(Skt.) atimuktaka, a kind of white flower"
阿梵波羅,Āfànbōluó,Āmrapālī
阿毘達磨,āpídámó,(Skt.) abhidharma
阿羅漢,āluóhàn,(Skt.) arhat
阿蘭若,ālánruò (<>ālánrě),"(Skt.) āraṇya, hermitage"
阿誰,āshuí,who
阿賴耶識,ālàiyéshì,ālayavijñāna
陋,lòu,"ugly, unsightly; vulgar"
降,jiàng,to descend
降神母胎,jiàng shén mǔ tāi,"Grammatically, the phrase 降神母胎 could be read either as “he descended in spirit into his mother’s womb” or “he descended into the divine mother’s womb.” We know from context (and that fact that 神母 is not a common term for a Buddha’s mother) that the former is correct."
陰陽,yīnyáng,astronomy; astrology
陶津,táojīn,to shape and lead
陸渾,Lù Hún,(place name)
隅,yú,"beside, off to a side; corner"
隆,lóng,"rich, full, great"
階梯,jiētī,"stage, level"
隔,gé,across; divided
隔礙,géài,"obstacle, obstruction"
際,jì,"border, margin; place, realm"
障,zhàng,"hindrance, obstacle, impediment"
障蔽,zhàngbì,"obstacle, obstruction; disturbed"
隨,suí,"to follow; as, while"
隱沒,yǐnmò,"obscure, hidden"
隸,lì,li script
集,jí,to gather
集,jí,"gather, accrue"
雜穢,záhuì,"unclean, low, vulgar (another of the ten types)"
離,lí,"to separate from, to leave"
離間語,líjiānyǔ (<>líjiànyǔ),slander
難,nàn (<>nán),"to question, challenge, interrogate"
雪山,Xuěshān,"lit. Snowy Mountains, the Himālayas"
雲,yún,clouds
霜雹,shuāngbáo,frost and hail
靈瑞,língruì,numinous and auspicious omens
靈異,língyì,"numinous, holy"
靈通,língtōng,"marvelously pervasive, numinous penetration"
青,qīng,"blue, blue-green"
青目女,Qīngmùnǚ,"Blue-eyed Girl. (This seems to be a mistake for Jìngmùnǚ 淨目女 Skt. Śucimukhī, as given in 《大智度論》卷3 [CBETA, T25, no. 1509, p. 79, c3])."
非,fēi,"is the “negative copula” meaning “is not.” Normally, it is itself a verb and takes a noun as object. In the following passage, the text describes how the gods protect the newly born Bodhisattva from various sorts of beings, including both 人 and 非人。"
面,miàn,face
靴帽,xuēmào,boots and hat
鞭,biān,to whip
韶州,Sháozhōu,(place name)
響,xiǎng,echo
頂受,dǐngshòu,lit. to receive with one’s head touching the ground; to respectfully receive
頂髻,dǐngjì,topknot
須彌,Xūmí,(Mount) Sumeru
須臾,xūyú,"presently, after a brief time, moments later"
須陀洹,xūtuóhuán,"(Skt.) srotāpanna, stream-enterer"
頌,sòng,in verse
頓,dùn,"to knock, beat"
頓,dùn,immediately
頓,dùn,"sudden, instantaneous"
領納,lǐngnà,"to receive, to accept; to experience"
領解,lǐngjiě,"to grasp, to understand"
頭,tóu,head
頭陀,tóutuó,"(Skt.) dhūta, austerities"
頸,jǐng,neck
頻婆娑羅,Bīnpósuōluó (<>pínpósuōluó),Bimbisāra
題,tí,title
顏冉,Yánrǎn,"(Disciple of Confucius, better known as 顏回). This is an allusion to Analects 2.9: “The Master asked, ‘I can speak to Hui all day without his disagreeing with me in any way. Thus he would seem to be stupid. However, when I take a closer look at what he does in private after he has withdrawn from my presence, I discover that it does, in fact, throw light on what I said. Hui is not stupid after all.’” (from D.C. Lau)."
類,lèi,"similar to, of the same sort; to group"
顧忌,gùjì,"to be concerned about, to worry about"
風,fēng,wind
風流,fēngliú,"refined life, the stylish life"
風疾,fēngjí,"an excess of wind (medical historians are often reluctant to equate terms like these with standard modern terms for illnesses like “pneumonia,” “leprosy,” etc.)."
風韻,fēngyùn,composure
風顛漢,fēngdiānhàn,madman
食,shí,food; to eat
飢,jī,hunger
餉,xiǎng,to eat; to give to eat
養,yǎng,"to nurture, to cultivate; to harbor"
養徒,yǎngtú,to train disciples
餓鬼,èguǐ,hungry ghosts
餘,yú,"the rest, the remaining; other"
餘算,yúsuàn,"remainder, left over"
饒舌,ráoshé,"loquacious; a blowhard, blabbermouth"
馨香,xīnxiāng,potent fragrant; distantly-permeating perfume
馬,mǎ,horse
馬㭿,mǎáng,hitching post
馳,chí,to gallop
馳走,chízǒu,"to run away, to flee"
駭,hài,to frighten
騎,qí,to ride
驅役,qūyī (<>qūyì),"to dispatch, to put to work"
驅迫,qūpò,"to impel, to force"
驅迫,qūpò,"to force to, to push"
驚愕,jìng'è (<>jīng'è),"shocked, astonished, astounded"
骨,gǔ,"bones, skeleton"
髓,suǐ,marrow
體,tǐ,body
高安,Gāoān,(name of a river)
高平,Gāopíng,(place name)
高跡,gāojì (<>gāojī),"the high road, lofty conduct"
髮,fǎ (<>fà),hair
鬘,mán,garland
鬚髮,xūfǎ (<>xūfà),hair and beard
魔著,mózháo (<>mózhe),demonic possession
魯襄公,Lǔ Xiānggōng,(person's name)
鳥,niǎo,bird
鳴,míng,"to sound, to chirp"
鵂鶹,xiūliú,owlet
鵄梟,chīxiāo,owl
鶴鶩,hèwù,cranes and ducks
鹹,xián,salty
鹹海,xiánhǎi,salty sea
麁惡,cūè,"crass, vile (vile language, one of the ten types of unwholesome behavior)"
麞麋,zhāngmí,deer
黃梅,Huángméi,(place name)
黑,hēi,black
鼎,dǐng,(type of vessel)
鼓,gǔ,"to stir,"
鼻,bí,nose
齋戒,zhāijiè,"precepts of abstention, observance of abstention; purification"
齎,jī,"to carry, to take, to hold"
齒,chǐ,teeth
䶩,jì,"to bite, to nip"
𪙾,lú (<>yín),"to tear, to bite, to gnaw"
龍樹,Lóngshù,Nāgārjuna
龍集,lóngjí,gathering of talents
